avg len,diameter,nodes,edges,density,degree,i
1.5,2,6521,10629230,0.5,3260,6521
1.5,2,6529,10655328,0.5,3264,6529
1.5,2,6553,10733814,0.5,3276,6553
1.25,2,6561,16140060,0.75,4920,6561
1.5,2,6569,10786298,0.5,3284,6569
1.5,2,6577,10812588,0.5,3288,6577
1.5,2,6581,10825745,0.5,3290,6581
1.5,2,6637,11010783,0.5,3318,6637
1.5,2,6653,11063939,0.5,3326,6653
1.5,2,6661,11090565,0.5,3330,6661
1.5,2,6673,11130564,0.5,3336,6673
1.5,2,6689,11184008,0.5,3344,6689
1.5,2,6701,11224175,0.5,3350,6701
1.5,2,6709,11250993,0.5,3354,6709
1.5,2,6733,11331639,0.5,3366,6733
1.5,2,6737,11345108,0.5,3368,6737
1.5,2,6761,11426090,0.5,3380,6761
1.5,2,6781,11493795,0.5,3390,6781
1.5,2,6793,11534514,0.5,3396,6793
1.5,2,6829,11657103,0.5,3414,6829
1.5,2,6833,11670764,0.5,3416,6833
1.5,2,6841,11698110,0.5,3420,6841
1.5,2,6857,11752898,0.5,3428,6857
1.5,2,6869,11794073,0.5,3434,6869
1.0119047619047619,2,6889,23443267,0.9880952380952381,6806,6889
1.5,2,6917,11959493,0.5,3458,6917
1.5,2,6949,12070413,0.5,3474,6949
1.5,2,6961,12112140,0.5,3480,6961
1.5,2,6977,12167888,0.5,3488,6977
1.5,2,6997,12237753,0.5,3498,6997
1.5,2,7001,12251750,0.5,3500,7001
1.5,2,7013,12293789,0.5,3506,7013
1.5,2,7057,12448548,0.5,3528,7057
1.5,2,7069,12490923,0.5,3534,7069
1.5,2,7109,12632693,0.5,3554,7109
1.5,2,7121,12675380,0.5,3560,7121
1.5,2,7129,12703878,0.5,3564,7129
1.5,2,7177,12875538,0.5,3588,7177
1.5,2,7193,12933014,0.5,3596,7193
1.5,2,7213,13005039,0.5,3606,7213
1.5,2,7229,13062803,0.5,3614,7229
1.5,2,7237,13091733,0.5,3618,7237
1.5,2,7253,13149689,0.5,3626,7253
1.5,2,7297,13309728,0.5,3648,7297
1.5,2,7309,13353543,0.5,3654,7309
1.5,2,7321,13397430,0.5,3660,7321
1.5,2,7333,13441389,0.5,3666,7333
1.5,2,7349,13500113,0.5,3674,7349
1.5,2,7369,13573698,0.5,3684,7369
1.5,2,7393,13662264,0.5,3696,7393
1.5,2,7417,13751118,0.5,3708,7417
1.5,2,7433,13810514,0.5,3716,7433
1.5,2,7457,13899848,0.5,3728,7457
1.5,2,7477,13974513,0.5,3738,7477
1.5,2,7481,13989470,0.5,3740,7481
1.5,2,7489,14019408,0.5,3744,7489
1.5,2,7517,14124443,0.5,3758,7517
